title,price
"15.6"" E560 i5-6200 4GB 128GB SSD Windows 10 Professional Portatīvais dators",319.99
"15.6"" HP 650 G1 i5-4300M 4GB 480GB SSD Windows 10 Professional Portatīvais dators",319.99
"15.6"" Fujitsu A576 i5-6200 8GB 512GB SSD Windows 10 Pro Portatīvais dators",319.99
"14"" 5490 i5-7300U 4GB 128GB SSD Windows 10 Professional Portatīvais dators",319.99
"15.6"" Fujitsu A576 i5-6200 16GB 256GB SSD Windows 10 Pro Portatīvais dators",319.99
HP 830 G5,322.0
Dell M4800,322.0
DELL E5470 14 1920x1080 i5-6200U 16GB 512SSD M.2 NVME WIN10Pro WEBCAM RENEW,322.05
Dell 5480,322.05
"DELL E7280 12.5 1920x1080 i5-7300U 16GB 1TB SSD WIN10Pro, atjaunots",322.05
"DELL E5580 15.6 1920x1080 i5-6200U 32GB 256SSD M.2 NVME WIN10Pro, atjaunots",322.05
Dell E5450,322.05
Dell 5480,322.05
Dell 5480,322.05
"15.6"" Toshiba B551 i5-2410M 8GB 960GB SSD Windows 10 Professional Portatīvais dators",322.34
"14"" Lenovo T450s i5-5300u 8GB 480GB SSD Windows 10 Professional Portatīvais dators",325.49
"HP 840 G2 i5-5300U 4GB 480GB SSD Windows 10 Professional 14""",326.54
Alurin Go Start,326.82
"Fujitsu E546 14 1920x1080 i5-6200U 32GB 1TB SSD WIN10Pro, atjaunots",327.0
Dell 7300,327.0
"14"" Dell e5480 i5-6300 8GB 240GB SSD FHD Windows 10 Professional Portatīvais dators",329.69
Dell Vostro 14 3400 i3-1115G4 8GB 256GB Win10P,329.99
"15.6"" Acer Extensa Celeron N4500 8GB 256GB SSD FHD Windows 10 Professional",329.99
"Portatīvais dators - Dell e7240, i5-4300u, 4GB, 120GB SSD, Microsoft Windows 10 Professional; Renew;",329.99
"14"" Flex 14ITL Pentium 7505 4GB 128GB SSD Touchscreen Windows 10 Portatīvais dators",329.99
HP Folio Ultrabook G1 M3-6Y30 8GB 120GB SSD Windows 10 Professional ReNew Portatīvais dators,329.99
"14"" 3401 Vostro i3-1005G1 8GB 128GB SSD Windows 10 Professional Portatīvais dators",329.99
"14"" Lenovo T460 i5-6300U 16GB 240GB SSD Windows 10 Professional Portatīvais dators",329.99
"15.6"" ThinkPad L560 i5-6200U 8GB 512GB SSD Windows 10 Pro",329.99
"14"" Lenovo L470 i5-6200U 16GB 240GB SSD Windows 10 Professional Portatīvais dators",329.99
"14"" 5490 i5-7300U 4GB 256GB SSD Windows 10 Professional Portatīvais dators",329.99
"14"" 5490 i5-7300U 8GB 128GB SSD Windows 10 Professional Portatīvais dators",329.99
DELL Latitude 5580 i5-7300U 15.6 HD 8GB 256GB Win10 PRO,330.0
"DELL Latitude 5580 i5-7300U 15.6 HD 8GB 256GB Win10 PRO, atjaunots",330.0
"DELL E5580 15.6 1920x1080 i5-6200U 8GB 1TB SSD M.2 NVME WIN10Pro, atjaunots",331.55
Dell 5480,331.55
Dell 5480,331.55
Dell 5480,331.55
TechBite TAB000525,334.0
HP 840 G5 14 1920x1080 i5-8350U 8GB 256SSD M.2 NVME WIN11Pro WEBCAM RENEW,335.0
Asus Vivobook OLED X515JA-BQ3431,335.0
